partition,product_type,scene_id,detect_id,SLC_product_identifier,swath_index,detect_lat,detect_lon,detect_scene_column,detect_scene_row,top,left,bottom,right,vessel_length_m,source,is_vessel,is_fishing,global_shoreline_vector_distance_from_shore_km,xView3_shoreline_distance_from_shore_km,confidence
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.60344616000000428357_-20.89814321000000063577,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.60344616,-20.89814321,18083.0,5388.0,5390.0,18079.0,5387.0,18087.0,,manual,True,,0.1307769615824348,0.1097268306588537,LOW
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.60102723999999341231_-20.90357632999999992762,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.60102724,-20.90357633,18131.0,5365.0,5368.0,18124.0,5363.0,18138.0,,manual,True,,0.1422627235316853,0.0710514325497344,MEDIUM
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.17134473999999499938_-21.09210240000000169402,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.17134474,-21.0921024,17649.0,1860.0,1862.0,17643.0,1859.0,17652.0,,manual,True,,0.041883733041627,0.5096837747616706,MEDIUM
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.17062706000000105178_-21.09188649000000026490,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.17062706,-21.09188649,17642.0,1855.0,1858.0,17635.0,1852.0,17649.0,,manual,True,,0.0448946415413693,0.5021807888864515,MEDIUM
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.70719721999999762829_-20.71366400000000140835,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.70719722,-20.713664,16672.0,6335.0,6340.0,16655.0,6331.0,16687.0,,manual,True,,0.0154433573325259,2.7897569721614954,MEDIUM
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.68312036000000375680_-20.65495101000000133240,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.68312036,-20.65495101,15875.0,6190.0,6192.0,15866.0,6187.0,15884.0,,manual,True,,0.0473703607348965,0.0013416446182404,MEDIUM
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.41028226999999617419_-21.09014014999999986344,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.41028227,-21.09014015,19067.0,3735.0,3738.0,19059.0,3732.0,19075.0,,manual,True,,0.0291416167265038,0.6333254475983157,LOW
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.40857597000000112075_-21.09271853999999990492,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.40857597,-21.09271854,19091.0,3720.0,3723.0,19078.0,3717.0,19101.0,,manual,True,,0.1709588529401461,0.5425909486681695,LOW
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_065.41028135999999904016_-21.09164772000000098728,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,65.41028136,-21.09164772,19088.0,3734.0,3737.0,19077.0,3731.0,19098.0,,manual,True,,0.089220167459815,0.5494996939908766,LOW
validation,SLC,5c3d986db930f848v,5c3d986db930f848v_066.09008219999999766969_-20.39272337999999962221,S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2,1,66.0900822,-20.39272338,15521.0,9567.0,9570.0,15508.0,9563.0,15531.0,,manual,True,,0.1255068738585101,0.0703780700310154,MEDIUM
